1340011637,60.027,122.647
1340011638,60.014,122.701
1340011639,59.985,122.643
1340011640,59.998,122.7
1340011641,60.027,122.698
1340011642,60.015,122.704
1340011643,59.984,122.78
1340011644,59.998,122.793
1340011645,60.019,122.792
1340011646,60.005,122.78
1340011647,59.996,122.784
1340011648,60.019,122.799
1340011649,59.98,122.792
1340011650,59.998,122.803
1340011651,60.017,122.82
1340011652,59.982,122.796
1340011653,59.997,122.839
1340011654,60.023,122.811
1340011655,60.008,122.82
1340011656,59.991,122.806
1340011657,60.025,122.786
1340011658,60.011,122.794
1340011659,59.988,122.78
1340011660,60.026,122.777
1340011661,60.011,122.784
1340011662,59.988,122.815
1340011663,60.002,122.78
1340011664,60.017,122.792
1340011665,59.982,122.779
1340011666,59.997,122.785
1340011667,60.025,122.788
1340011668,60.012,122.769
1340011669,59.987,122.735
1340011670,60.002,122.746
1340011671,60.016,122.758
1340011672,59.982,122.746
1340011673,59.998,122.758
1340011674,60.016,122.725
1340011675,59.983,122.735
1340011676,60,122.722
1340011677,60.013,122.739
1340011678,59.986,122.762
1340011679,60.027,122.75
1340011680,60.008,122.758
1340011681,59.991,122.755
1340011682,60.018,122.767
1340011683,59.981,122.769
1340011684,59.999,122.769
1340011685,60.008,122.719
1340011686,59.991,122.787
1340011687,60.017,122.792
1340011688,59.982,122.735
1340011689,60.022,122.762
1340011690,59.978,122.761
1340011691,59.996,122.741
1340011692,59.978,122.741
1340011693,59.995,122.742
1340011694,59.978,122.718
1340011695,59.995,122.768
1340011696,59.98,122.823
1340011697,60.012,122.794
1340011698,59.987,122.803
1340011699,60.008,122.806
1340011700,59.991,122.794
1340011701,59.978,122.82
1340011702,59.993,123.117
1340011703,59.981,123.238
1340011704,59.998,123.245
1340011705,59.978,123.219
1340011706,59.998,123.271
1340011707,60.013,123.248
1340011708,59.986,123.269
1340011709,60.002,123.249
1340011710,60.008,123.247
1340011711,59.991,123.251
1340011712,60.016,123.273
1340011713,59.983,123.275
1340011714,60.019,123.248
1340011715,59.98,123.233
1340011717,60.018
1340011718,59.981,123.258
1340011719,60.018,123.237
1340011720,59.981,123.228
1340011721,60.012,123.22
1340011722,59.987,123.21
1340011723,60.004,123.252
1340011724,59.991,123.224
1340011725,59.978,123.235
1340011726,60.011,123.212
1340011727,59.988,123.217
1340011728,59.978,123.197
1340011729,59.989,123.228
1340011730,59.985,123.222
1340011731,59.978,123.203
1340011732,59.988,123.211
1340011733,59.986,123.202
1340011734,59.978,123.212
1340011735,60.004,123.22
1340011736,59.984,123.226
1340011737,59.983,123.203
1340011738,59.978,123.23
1340011739,59.978,123.24
1340011740,59.984,123.236
1340011741,59.984,123.233
1340011742,59.978,123.199
1340011743,59.978,123.208
1340011744,59.987,123.21
1340011745,59.987,123.269
1340011746,59.978,123.251
1340011747,60.009,123.233
1340011748,59.989,123.255
1340011749,59.978,123.261
1340011750,60.012,123.276
1340011751,59.987,123.258
1340011752,59.978,123.246
1340011753,59.99,123.268
1340011754,59.98,123.254
1340011755,60.01,123.284
1340011756,59.989,123.255
1340011757,59.978,123.252
1340011758,59.992,123.213
1340011759,59.979,123.248
1340011760,60.012,123.239
1340011761,59.988,123.238
1340011762,59.978,123.248
1340011763,59.992,123.241
1340011764,59.979,123.256
1340011765,60.011,123.284
1340011766,59.989,123.307
1340011767,60.003,123.319
1340011768,59.995,123.307
1340011769,59.978,123.314
1340011770,59.993,123.266
1340011771,59.98,123.332
1340011772,60.016,123.322
1340011773,59.983,123.313
1340011774,60.012,123.255
1340011775,59.987,123.245
1340011776,60.016,123.282
1340011777,59.983,123.266
1340011778,60.021,123.265
1340011779,59.978,123.27
1340011780,60,123.281
1340011781,60.008,123.264
1340011782,59.991,123.274
1340011783,60.014,123.253
1340011784,59.985,123.262
1340011785,60.02,123.252
1340011786,59.979,123.24
1340011787,59.999,123.258
1340011788,60.006,123.238
1340011789,59.993,123.258
1340011790,60.013,123.218
1340011791,59.986,123.265
1340011792,60.023,123.24
1340011793,60.004,123.233
1340011794,59.995,123.23
1340011795,60.011,123.214
1340011796,59.988,123.21
1340011797,60.018,123.188
1340011798,59.981,123.141
1340011799,60.023,123.149
1340011800,59.978,123.124
1340011801,59.997,123.1
1340011802,60.008,123.099
1340011803,59.99,123.063
1340011804,60.011,123.083
1340011805,59.988,123.07
1340011807,60.013
1340011808,59.986,123.072
1340011809,60.013,123.08
1340011810,59.985,123.061
1340011811,60.011,123.055
1340011812,59.988,123.1
1340011813,60.008,123.099
1340011814,59.991,123.084
1340011815,60.004,123.042
1340011816,59.996,123.04
1340011817,59.978,123.053
1340011818,59.995,123.064
1340011819,59.978,123.082
1340011820,59.995,123.051
1340011821,59.978,123.081
1340011822,60.014,123.065
1340011823,59.985,123.075
1340011824,59.978,123.018
1340011825,59.99,123.009
1340011826,59.979,122.805
1340011827,60.011,122.739
1340011828,59.988,122.738
1340011829,59.978,122.652
1340011830,59.993,122.658
1340011831,59.978,122.626
1340011832,59.995,122.649
1340011833,59.98,122.622
1340011834,60.018,122.649
1340011835,59.981,122.634
1340011836,60.022,122.634
1340011837,59.978,122.646
1340011838,59.995,122.66
1340011839,59.979,122.674
1340011840,60.017,122.682
1340011841,59.982,122.688
1340011842,60.012,122.652
1340011843,59.987,122.618
1340011844,60.005,122.651
1340011845,59.993,122.69
1340011846,59.978,122.666
1340011847,59.991,122.651
1340011848,59.982,122.67
1340011849,60.007,122.695
1340011850,59.992,122.674
1340011851,59.978,122.642
1340011852,59.991,122.629
1340011853,59.983,122.665
1340011854,60.006,122.678
1340011855,59.992,122.635
1340011856,59.978,122.657
1340011857,60.015,122.634
1340011858,59.984,122.64
1340011859,59.978,122.654
1340011860,59.992,122.646
1340011861,59.978,122.665
1340011862,60.012,122.667
1340011863,59.987,122.656
1340011864,60.003,122.694
1340011865,59.992,122.694
1340011866,59.978,122.672
1340011867,60.007,122.669
1340011868,59.988,122.662
1340011869,59.978,122.685
1340011870,59.978,122.672
1340011871,59.983,122.687
1340011872,59.982,122.688
1340011873,59.978,122.68
1340011874,59.978,122.678
1340011875,59.978,122.719
1340011876,59.98,122.735
1340011877,59.979,122.695
1340011878,59.98,122.71
1340011879,59.979,122.368
1340011880,59.978,122.603
1340011881,59.978,122.592
